DISTCD,STATNAME,DISTNAME,DISTRICTS,BLOCKS,VILLAGES,CLUSTERS,TOTPOPULAT,P_URB_POP,POPULATION_0_6,GROWTHRATE,SEXRATIO,P_SC_POP,P_ST_POP,OVERALL_LI,FEMALE_LIT,MALE_LIT,AREA_SQKM,TOT_6_10_15,TOT_11_13_15,SCH1,SCH2,SCH3,SCH4,SCH5,SCH6,SCH7,SCH9,SCHTOT,SCH1G,SCH2G,SCH3G,SCH4G,SCH5G,SCH6G,SCH7G,SCH9G,SCHTOTG,SCH1P,SCH2P,SCH3P,SCH4P,SCH5P,SCH6P,SCH7P,SCH9P,SCHTOTP,SCH1M,SCH2M,SCH3M,SCH4M,SCH5M,SCH6M,SCH7M,SCH9M,SCHTOTM,SCH1GR,SCH2GR,SCH3GR,SCH4GR,SCH5GR,SCH6GR,SCH7GR,SCH9GR,SCHTOTGR,SCH1GA,SCH2GA,SCH3GA,SCH4GA,SCH5GA,SCH6GA,SCH7GA,SCH9GA,SCHTOTGA,SCH1PR,SCH2PR,SCH3PR,SCH4PR,SCH5PR,SCH6PR,SCH7PR,SCH9PR,SCHTOTPR,SCHBOY1,SCHBOY2,SCHBOY3,SCHBOY4,SCHBOY5,SCHBOY6,SCHBOY7,SCHBOY9,SCHBOYTOT,SCHGIR1,SCHGIR2,SCHGIR3,SCHGIR4,SCHGIR5,SCHGIR6,SCHGIR7,SCHGIR9,SCHGIRTOT,ENR1,ENR2,ENR3,ENR4,ENR5,ENR6,ENR7,ENR9,ENRTOT,ENR1G,ENR2G,ENR3G,ENR4G,ENR5G,ENR6G,ENR7G,ENR9G,ENRTOTG,ENR1P,ENR2P,ENR3P,ENR4P,ENR5P,ENR6P,ENR7P,ENR9P,ENRTOTP,ENR1M,ENR2M,ENR3M,ENR4M,ENR5M,ENR6M,ENR7M,ENR9M,ENRTOTM,ENR1GR,ENR2GR,ENR3GR,ENR4GR,ENR5GR,ENR6GR,ENR7GR,ENR9GR,ENRTOTGR,ENR1PR,ENR2PR,ENR3PR,ENR4PR,ENR5PR,ENR6PR,ENR7PR,ENR9PR,ENRTOTPR,TCH1G,TCH2G,TCH3G,TCH4G,TCH5G,TCH6G,TCH7G,TCH9G,TCHTOTG,TCH1P,TCH2P,TCH3P,TCH4P,TCH5P,TCH6P,TCH7P,TCH9P,TCHTOTP,TCH1M,TCH2M,TCH3M,TCH4M,TCH5M,TCH6M,TCH7M,TCH9M,TCHTOTM,SCLS1,SCLS2,SCLS3,SCLS4,SCLS5,SCLS6,SCLS7,SCLSTOT,STCH1,STCH2,STCH3,STCH4,STCH5,STCH6,STCH7,STCHTOT,ROAD1,ROAD2,ROAD3,ROAD4,ROAD5,ROAD6,ROAD7,ROADTOT,SPLAY1,SPLAY2,SPLAY3,SPLAY4,SPLAY5,SPLAY6,SPLAY7,SPLAYTOT,SBNDR1,SBNDR2,SBNDR3,SBNDR4,SBNDR5,SBNDR6,SBNDR7,SBNDRTOT,SGTOIL1,SGTOIL2,SGTOIL3,SGTOIL4,SGTOIL5,SGTOIL6,SGTOIL7,SGTOILTOT,SBTOIL1,SBTOIL2,SBTOIL3,SBTOIL4,SBTOIL5,SBTOIL6,SBTOIL7,SBTOILTOT,SWAT1,SWAT2,SWAT3,SWAT4,SWAT5,SWAT6,SWAT7,SWATTOT,SELE1,SELE2,SELE3,SELE4,SELE5,SELE6,SELE7,SELETOT,SCOMP1,SCOMP2,SCOMP3,SCOMP4,SCOMP5,SCOMP6,SCOMP7,SCOMPTOT,SRAM1,SRAM2,SRAM3,SRAM4,SRAM5,SRAM6,SRAM7,SRAMTOT,SRAMN1,SRAMN2,SRAMN3,SRAMN4,SRAMN5,SRAMN6,SRAMN7,SRAMNTOT,ESTD1,ESTD2,ESTD3,ESTD4,ESTD5,ESTD6,ESTD7,ESTDTOT,MDM1,MDM2,MDM3,MDM4,MDM5,MDM6,MDM7,MDMTOT,KIT1,KIT2,KIT3,KIT4,KIT5,KIT6,KIT7,KITTOT,KITS1,KITS2,KITS3,KITS4,KITS5,KITS6,KITS7,KITSTOT,ENR501,ENR502,ENR503,ENR504,ENR505,ENR506,ENR507,ENR509,ENR50TOT,SMC1,SMC2,SMC3,SMC4,SMC5,SMC6,SMC7,SMCTOT,CLS1,CLS2,CLS3,CLS4,CLS5,CLS6,CLS7,CLSTOT,TCH1,TCH2,TCH3,TCH4,TCH5,TCH6,TCH7,TCHTOT,TCHF1,TCHF2,TCHF3,TCHF4,TCHF5,TCHF6,TCHF7,TCHFTOT,TCHM1,TCHM2,TCHM3,TCHM4,TCHM5,TCHM6,TCHM7,ENRG1,ENRG2,ENRG3,ENRG4,ENRG5,ENRG6,ENRG7,ENRGTOT,PREP,PRESTD,PPFTCH,PPMTCH,PMTCH,PFTCH,TCHSCM1,TCHSCM2,TCHSCM3,TCHSCM4,TCHSCM5,TCHSCM6,TCHSCM7,TCHSCF1,TCHSCF2,TCHSCF3,TCHSCF4,TCHSCF5,TCHSCF6,TCHSCF7,TCHSTM1,TCHSTM2,TCHSTM3,TCHSTM4,TCHSTM5,TCHSTM6,TCHSTM7,TCHSTF1,TCHSTF2,TCHSTF3,TCHSTF4,TCHSTF5,TCHSTF6,TCHSTF7,TCHOBCM1,TCHOBCM2,TCHOBCM3,TCHOBCM4,TCHOBCM5,TCHOBCM6,TCHOBCM7,TCHOBCF1,TCHOBCF2,TCHOBCF3,TCHOBCF4,TCHOBCF5,TCHOBCF6,TCHOBCF7,TCH_TRNRM1,TCH_TRNRM2,TCH_TRNRM3,TCH_TRNRM4,TCH_TRNRM5,TCH_TRNRM6,TCH_TRNRM7,TCH_TRNRF1,TCH_TRNRF2,TCH_TRNRF3,TCH_TRNRF4,TCH_TRNRF5,TCH_TRNRF6,TCH_TRNRF7,PGRMTCH,PGRFTCH,GRMTCH,GRFTCH,PGCMTCH,PGCFTCH,PCMTCH,PCFTCH
101,JAMMU & KASHMIR,KUPWARA,1,13,391,104,875564,11.33,197001.9,34.62,843,0.12,8.08,66.92,54.79,77.1,2379,131294,78160,1107,820,3,14,2,87,50,0,2083,983,698,1,14,2,49,50,0,1797,124,122,2,0,0,38,0,0,286,0,0,0,0,0,0,0,0,0,957,682,1,14,2,48,50,0,1754,983,698,1,14,2,49,50,0,1797,114,115,1,0,0,25,0,0,255,1105,812,3,4,2,86,45,0,2057,1106,817,3,14,2,86,45,0,2073,32490,65348,811,568,154,15005,2338,0,116714,25797,47259,21,568,154,3885,2338,0,80022,6693,18089,790,0,0,11120,0,0,36692,0,0,0,0,0,0,0,0,0,25401,46298,21,568,154,3740,2338,0,78520,6143,17153,492,0,0,7008,0,0,30796,2015,4130,13,70,28,552,649,0,7457,710,1106,45,0,0,576,0,0,2437,0,0,0,0,0,0,0,0,0,66,0,0,0,0,0,0,66,114,0,0,1,0,0,0,115,831,647,3,13,2,71,42,1609,101,238,2,1,2,52,27,423,214,266,3,9,1,52,31,576,804,774,3,13,2,85,45,1726,1102,812,3,4,2,86,45,2054,828,707,3,13,1,81,48,1681,53,77,3,8,1,42,25,209,27,99,2,1,1,44,16,190,230,314,0,1,0,24,22,591,279,352,0,1,0,30,26,688,959,196,1,13,0,16,0,1185,983,698,1,4,1,49,50,1786,474,553,0,1,1,42,36,1107,953,690,1,4,1,49,50,1748,979,264,1,12,1,9,31,42,1297,983,698,1,14,2,49,50,1797,3486,5329,46,62,23,914,244,10104,2725,5236,58,70,28,1128,649,9894,867,1260,22,61,6,252,111,2579,1858,3976,36,9,22,876,538,16079,32172,283,484,54,6230,1078,56380,796,13509,221,470,1792,645,5,21,0,0,0,7,8,1,8,0,1,0,0,3,124,148,0,0,0,41,24,15,42,0,2,0,8,2,330,434,1,1,0,89,37,119,103,0,0,0,8,10,190,308,0,0,0,77,22,66,75,0,4,0,14,4,2594,876,5301,1809,100,65,222,125
102,JAMMU & KASHMIR,BARAMULA,1,18,677,144,1015503,17.19,161871.18,20.34,873,0.15,3.74,66.93,55.01,77.35,4243,119283,65952,1219,822,10,11,5,196,60,0,2323,1108,638,1,11,5,107,60,0,1930,111,184,9,0,0,89,0,0,393,0,0,0,0,0,0,0,0,0,1031,599,1,8,5,98,53,0,1795,1108,638,1,11,5,107,60,0,1930,102,158,4,0,0,67,0,0,331,1211,818,10,1,5,194,54,0,2293,1213,820,10,11,5,195,58,0,2312,28133,61282,7222,346,167,29833,2393,0,129376,22900,36659,210,346,167,6960,2393,0,69635,5233,24623,7012,0,0,22873,0,0,59741,0,0,0,0,0,0,0,0,0,22012,34348,210,291,167,6470,2098,0,65596,4618,21391,1344,0,0,17465,0,0,44818,2347,4021,14,65,118,1348,807,0,8720,648,1959,243,0,0,1497,0,0,4347,0,0,0,0,0,0,0,0,0,86,0,0,0,0,1,1,88,79,0,0,0,0,0,0,79,1049,763,10,10,4,184,56,2076,210,357,9,7,4,142,41,770,194,266,9,6,3,112,35,625,1213,820,10,11,5,194,58,2311,1211,818,10,1,5,194,54,2293,1075,774,10,10,5,193,60,2127,290,349,10,7,5,196,60,917,23,124,8,0,4,96,24,279,75,132,2,2,2,50,27,290,113,175,3,2,2,67,32,394,904,173,2,10,0,21,0,1110,1108,638,0,11,4,106,60,1927,380,466,0,5,2,82,42,977,800,569,0,7,2,99,52,1529,1131,355,0,10,4,53,45,41,1598,1108,638,0,11,4,107,60,1928,4113,5749,219,53,30,1889,314,12367,2995,5980,257,65,118,2845,807,13067,1097,2260,121,60,48,1060,315,4961,1898,3720,136,5,70,1785,492,14490,29962,3299,331,70,13299,1211,62662,2052,31324,1612,1800,2347,2000,10,28,1,0,0,24,10,4,15,2,0,0,2,6,65,112,1,2,4,44,8,12,39,0,0,2,9,3,413,583,3,0,10,176,51,178,191,0,9,9,57,8,98,122,0,0,0,9,8,36,38,0,0,0,1,1,3692,2197,5296,2765,273,155,463,196
103,JAMMU & KASHMIR,SRINAGAR,1,8,94,63,1269751,98.73,155798.45,23.56,879,0.09,0.72,71.21,63.47,77.95,1979,112712,65224,267,386,36,2,0,251,10,0,952,204,209,3,2,0,64,10,0,492,63,177,33,0,0,187,0,0,460,0,0,0,0,0,0,0,0,0,18,6,0,0,0,6,0,0,30,204,209,3,2,0,64,10,0,492,2,11,0,0,0,1,0,0,14,264,383,34,0,0,244,10,0,935,265,383,32,2,0,246,8,0,936,6386,23893,20409,45,0,44338,224,0,95295,3184,8880,944,45,0,3777,224,0,17054,3202,15013,19465,0,0,40561,0,0,78241,0,0,0,0,0,0,0,0,0,439,359,0,0,0,470,0,0,1268,135,1143,0,0,0,200,0,0,1478,440,1503,54,14,0,1061,148,0,3220,494,1860,1101,0,0,3560,0,0,7015,0,0,0,0,0,0,0,0,0,99,0,0,0,0,0,1,100,18,0,0,0,0,0,0,18,258,377,36,2,0,250,10,933,75,238,34,2,0,213,5,567,198,329,36,2,0,238,7,810,200,358,32,2,0,244,8,844,264,383,34,0,0,244,10,935,267,386,36,2,0,251,10,952,102,188,36,0,0,242,9,577,40,188,35,0,0,204,5,472,8,31,7,0,0,18,2,66,35,80,15,0,0,64,3,197,218,112,9,2,0,18,0,359,203,209,2,2,0,64,10,490,33,92,1,1,0,44,6,177,176,207,2,2,0,64,9,460,244,197,3,2,0,49,9,31,504,204,209,1,2,0,64,10,490,903,2983,865,8,0,2779,49,7587,934,3363,1155,14,0,4621,148,10235,722,2565,860,14,0,3560,95,7816,212,798,295,0,0,1061,53,3435,11795,9480,45,0,21193,82,46030,863,33204,2120,602,1513,5502,1,2,1,0,0,8,2,2,5,3,0,0,7,1,13,35,5,0,0,15,3,2,27,4,0,0,10,6,6,29,3,0,0,20,4,1,17,7,0,0,9,2,7,30,0,0,0,10,0,38,128,0,0,0,28,1,522,1803,850,2199,36,108,56,115
104,JAMMU & KASHMIR,BADGAM,1,13,524,105,735753,11.74,150755.79,21.18,883,0.05,3.17,57.98,46.6,68.56,1361,113575,65383,775,530,8,10,1,101,56,0,1481,697,422,1,10,1,40,56,0,1227,75,108,7,0,0,61,0,0,251,3,0,0,0,0,0,0,0,3,678,411,1,10,1,40,53,0,1194,697,422,1,10,1,40,56,0,1227,73,103,6,0,0,52,0,0,234,774,525,7,2,1,99,53,0,1461,772,529,8,9,1,101,54,0,1474,21459,41168,2144,480,52,15899,2301,0,83503,17988,27771,24,480,52,2330,2301,0,50946,3369,13397,2120,0,0,13569,0,0,32455,102,0,0,0,0,0,0,0,102,17529,27075,24,480,52,2330,2197,0,49687,3331,12243,1986,0,0,10669,0,0,28229,1592,2731,12,68,15,456,685,0,5559,425,1117,161,0,0,1087,0,0,2790,26,0,0,0,0,0,0,0,26,65,0,0,0,0,0,0,65,37,1,0,0,0,0,0,38,750,520,8,10,1,101,55,1445,139,229,8,3,1,81,30,491,187,226,7,5,1,77,36,539,772,529,8,9,1,101,54,1474,774,525,7,2,1,99,53,1461,775,530,8,10,1,101,56,1481,86,76,7,2,1,66,23,261,27,93,7,3,1,71,15,217,84,144,1,0,0,24,12,265,180,209,4,2,0,37,25,457,550,75,4,10,0,16,1,656,697,422,1,10,0,40,56,1226,240,302,1,4,0,37,47,631,423,358,1,8,0,40,52,882,689,184,1,8,0,23,40,43,945,697,422,1,10,1,40,56,1227,2399,3766,95,46,8,1077,315,7706,2043,3848,173,68,15,1543,685,8375,657,1335,105,64,5,605,200,2971,1386,2513,68,4,10,938,485,10815,20167,1134,407,15,7248,997,40783,1291,20337,637,717,1482,1308,6,15,0,0,0,4,3,2,7,0,0,1,1,1,47,90,0,2,0,21,20,13,13,0,2,0,4,0,416,490,0,0,0,66,54,133,101,1,7,0,19,5,87,65,0,0,0,8,2,15,27,0,0,0,2,0,2447,1146,3591,1531,212,90,317,120
105,JAMMU & KASHMIR,PULWAMA,1,8,361,64,570060,13.8,97651.28,29.18,913,0.07,4.03,65,53.81,75.41,1086,65594,32911,527,336,4,15,2,98,44,0,1026,497,232,0,15,2,22,44,0,812,30,104,4,0,0,76,0,0,214,0,0,0,0,0,0,0,0,0,470,214,0,14,2,22,42,0,764,497,232,0,15,2,22,44,0,812,25,84,0,0,0,52,0,0,161,519,335,4,10,2,97,39,0,1006,523,335,4,14,2,98,43,0,1019,10823,24178,2149,496,91,18731,1519,0,57987,9321,12064,0,496,91,1556,1519,0,25047,1502,12114,2149,0,0,17175,0,0,32940,0,0,0,0,0,0,0,0,0,9036,11309,0,480,91,1556,1468,0,23940,1099,9443,0,0,0,10064,0,0,20606,1108,1629,0,88,42,300,532,0,3699,227,1042,113,0,0,1217,0,0,2599,0,0,0,0,0,0,0,0,0,27,0,0,0,0,0,1,28,64,0,0,0,0,0,0,64,478,319,4,15,2,97,42,957,87,172,2,8,1,85,20,375,154,200,4,8,2,79,30,477,373,304,4,14,2,98,42,837,449,330,4,10,2,97,39,931,496,331,4,15,2,98,44,990,31,91,4,5,2,82,39,254,17,101,4,3,2,74,13,214,41,84,0,2,2,13,25,167,134,138,2,4,2,32,29,341,304,50,0,7,0,20,0,381,487,232,0,10,2,21,44,796,275,196,0,9,1,21,40,542,395,220,0,9,2,21,43,690,503,142,0,14,1,8,35,36,703,497,232,0,15,2,21,44,811,1708,2579,151,75,5,1146,217,5881,1335,2671,113,88,42,1517,532,6298,453,958,49,58,11,520,111,2160,882,1713,64,30,31,997,421,5500,12039,972,356,37,8697,776,28377,881,17002,620,724,1512,1087,6,11,0,0,0,0,6,5,10,0,0,1,2,0,40,48,0,1,0,18,18,5,7,0,0,0,1,1,141,178,0,6,0,41,53,42,36,0,4,0,4,3,149,172,0,2,0,27,38,52,69,0,7,0,6,7,1771,767,2488,1010,77,49,138,63
106,JAMMU & KASHMIR,ANANTNAG,1,12,523,96,1070144,26.04,206323.76,37.48,937,0.17,10.75,64.32,54.15,74.13,3574,147202,85236,782,875,10,14,3,158,47,0,1889,691,682,2,14,3,68,47,0,1507,91,193,8,0,0,90,0,0,382,0,0,0,0,0,0,0,0,0,627,616,2,13,3,62,42,0,1365,691,682,2,14,3,68,47,0,1507,82,150,4,0,0,63,0,0,299,774,855,9,6,3,157,44,0,1848,780,866,9,14,2,158,44,0,1873,18939,61368,3085,500,288,26429,1542,0,112151,15146,38136,807,500,288,5152,1542,0,61571,3793,23232,2278,0,0,21277,0,0,50580,0,0,0,0,0,0,0,0,0,14545,34633,807,490,288,4704,1466,0,56933,2962,17694,1300,0,0,14850,0,0,36806,1454,4216,55,70,58,840,543,0,7236,582,2194,244,0,0,1684,0,0,4704,0,0,0,0,0,0,0,0,0,63,0,0,0,0,0,0,63,161,1,0,0,0,0,0,162,703,808,10,14,3,147,46,1731,136,324,10,4,1,108,22,605,223,428,10,7,3,116,35,822,760,861,9,14,2,158,44,1848,757,852,9,6,3,157,44,1828,727,841,10,13,3,157,47,1798,53,156,10,4,3,127,43,396,57,192,10,1,2,93,14,369,113,265,3,1,1,52,31,466,300,505,10,5,1,108,39,968,640,246,1,11,1,17,1,917,691,681,0,14,1,66,46,1499,293,455,0,6,0,56,36,846,611,654,0,13,1,62,44,1385,716,383,0,11,1,20,39,57,1170,691,682,2,14,3,68,47,1507,2639,6091,158,56,14,1605,198,10761,2036,6410,299,70,58,2524,543,11940,875,2676,135,54,13,837,122,4712,1161,3734,164,16,45,1687,421,9518,30293,1335,407,56,11727,649,53985,1755,28623,1063,1091,2531,2173,3,41,1,0,0,28,7,1,16,0,0,0,5,0,97,131,0,1,1,63,26,16,20,0,0,0,5,4,103,261,0,2,3,69,17,52,89,1,0,0,29,4,157,427,0,2,2,58,37,49,130,0,12,0,3,9,2751,1641,4237,2308,225,170,460,231
107,JAMMU & KASHMIR,LEH (LADAKH),1,6,107,49,147104,42.96,11812.45,25.48,583,0.37,71.81,80.48,64.52,89.39,45110,9136,5368,165,144,3,3,2,47,0,0,364,133,122,1,3,2,32,0,0,293,32,22,2,0,0,15,0,0,71,0,0,0,0,0,0,0,0,0,127,117,0,3,2,31,0,0,280,133,122,1,3,2,32,0,0,293,29,17,1,0,0,9,0,0,56,162,143,3,0,2,47,0,0,357,147,138,3,3,2,47,0,0,340,1317,5499,1814,49,384,5945,0,0,15008,757,2724,290,49,384,814,0,0,5018,560,2775,1524,0,0,5131,0,0,9990,0,0,0,0,0,0,0,0,0,688,2412,0,49,384,756,0,0,4289,444,1952,466,0,0,3099,0,0,5961,379,1032,20,19,45,568,0,0,2063,107,249,81,0,0,356,0,0,793,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,6,151,136,3,3,2,47,0,342,63,101,3,0,2,39,0,208,115,123,3,1,2,41,0,285,145,138,3,3,2,47,0,338,161,143,3,0,2,47,0,356,112,113,1,1,1,41,0,269,29,36,3,0,2,43,0,113,18,84,3,2,2,42,0,151,9,13,0,0,0,6,0,28,86,70,1,2,0,18,0,177,65,13,1,3,0,2,0,84,133,120,0,0,2,32,0,287,83,101,0,0,0,28,0,212,133,119,0,0,2,32,0,286,164,119,0,3,0,29,0,14,315,133,120,0,3,0,32,0,288,568,1053,46,9,17,483,0,2176,486,1281,101,19,45,924,0,2856,341,895,65,19,9,622,0,1951,145,386,36,0,36,302,0,588,2676,901,49,191,2913,0,7318,308,5379,394,174,256,537,0,2,1,0,0,0,0,1,1,0,0,2,7,0,142,357,13,0,10,234,0,337,869,47,19,6,518,0,0,3,1,0,1,1,0,1,2,0,0,0,0,0,7,17,0,0,0,5,0,15,19,0,0,0,4,0,504,1030,625,1296,13,70,24,118
108,JAMMU & KASHMIR,KARGIL,1,7,134,54,143388,8.89,20404.11,20.18,775,0.01,86.89,74.49,58.05,86.73,14036,15017,8892,232,291,7,6,1,27,28,0,592,216,259,2,6,1,18,27,0,529,16,32,5,0,0,9,1,0,63,0,0,0,0,0,0,0,0,0,209,248,1,6,1,18,24,0,507,216,259,2,6,1,18,27,0,529,12,26,2,0,0,6,0,0,46,232,285,7,0,1,26,26,0,577,230,290,6,6,1,27,28,0,588,3333,10003,1012,179,141,2727,618,0,18013,2207,6846,0,179,141,641,441,0,10455,1126,3157,1012,0,0,2086,177,0,7558,0,0,0,0,0,0,0,0,0,2109,6460,0,179,141,641,342,0,9872,651,2220,182,0,0,1118,0,0,4171,412,1474,25,44,17,187,295,0,2454,89,253,79,0,0,110,6,0,537,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,37,2,0,0,0,0,0,39,213,278,7,6,1,27,27,559,28,108,5,2,1,18,21,183,50,127,7,4,1,21,23,233,230,290,6,6,1,27,28,588,232,285,7,0,1,26,26,577,114,188,6,4,0,20,19,351,5,14,6,5,1,20,26,77,20,69,6,2,1,19,16,133,7,7,1,0,0,8,23,46,12,13,2,1,0,9,23,60,153,49,1,6,0,0,0,209,216,259,1,0,0,18,27,521,55,103,0,0,0,4,7,169,208,256,1,0,0,17,26,508,222,239,3,6,0,14,27,15,511,214,259,1,6,1,18,27,526,727,1488,69,26,3,220,99,2632,501,1727,104,44,17,297,301,2991,167,515,33,44,7,51,82,899,334,1212,71,0,10,246,219,1744,5535,385,179,54,1204,266,9367,410,3154,48,100,366,171,0,12,2,0,0,7,6,0,0,1,0,0,0,1,332,1172,68,0,0,222,206,162,507,32,44,0,51,81,1,1,0,0,0,0,4,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1007,330,1562,603,55,31,164,125
109,JAMMU & KASHMIR,DODA,1,10,389,80,409576,7.95,71020.48,27.89,922,13.03,9.57,65.97,50.34,80.36,8912,52866,30611,770,533,18,5,10,130,8,0,1474,654,460,13,5,10,105,8,0,1255,116,73,5,0,0,25,0,0,219,0,0,0,0,0,0,0,0,0,638,445,11,5,10,101,8,0,1218,654,460,13,5,10,105,8,0,1255,104,61,1,0,0,14,0,0,180,769,533,18,0,10,130,8,0,1468,770,532,18,5,10,130,8,0,1473,19415,35878,3299,213,511,15418,321,0,75055,15054,28655,1096,213,511,9340,321,0,55190,4361,7223,2203,0,0,6078,0,0,19865,0,0,0,0,0,0,0,0,0,14852,27772,662,213,511,9092,321,0,53423,3703,5797,239,0,0,2742,0,0,12481,1377,2392,197,41,194,1091,105,0,5397,556,676,92,0,0,352,0,0,1676,0,0,0,0,0,0,0,0,0,31,5,0,0,0,0,0,36,76,1,0,0,0,0,0,77,591,363,16,5,8,97,8,1088,158,176,13,1,10,71,5,434,67,79,8,1,3,29,3,190,770,532,18,5,10,130,8,1473,769,533,18,0,10,130,8,1468,651,484,18,5,10,128,8,1304,66,51,16,4,10,77,7,231,19,45,10,0,5,40,3,122,19,18,1,0,2,8,2,50,41,44,2,0,2,13,2,104,634,147,1,5,0,4,0,791,654,460,12,5,8,105,8,1252,498,408,7,4,6,96,8,1027,647,457,11,5,8,105,8,1241,706,211,6,5,5,34,6,18,973,654,460,13,5,10,105,8,1255,2178,2434,177,17,41,784,40,5671,1933,3068,289,41,194,1443,105,7073,728,1065,78,39,23,410,43,2386,1205,2003,211,2,171,1033,62,9421,17499,1501,213,243,6822,157,35856,415,8496,177,245,938,738,124,193,25,0,23,80,5,70,67,7,0,0,28,2,60,97,9,0,6,82,3,12,37,2,0,0,9,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,109,209,9,0,17,61,2,64,131,6,7,8,50,0,1315,595,3153,1321,169,118,596,327
110,JAMMU & KASHMIR,UDHAMPUR,1,11,362,86,555357,19.72,82637.12,20.86,863,24.97,10.15,69.9,58.22,79.93,2637,61265,37366,973,559,36,5,6,154,4,0,1737,901,479,17,5,6,108,4,0,1520,72,80,19,0,0,46,0,0,217,0,0,0,0,0,0,0,0,0,890,468,16,5,6,104,3,0,1492,901,479,17,5,6,108,4,0,1520,67,69,10,0,0,33,0,0,179,971,556,36,0,6,151,3,0,1723,971,555,36,5,6,153,4,0,1730,21858,39843,11140,225,497,19971,204,0,93738,18847,32307,3685,225,497,10392,204,0,66157,3011,7536,7455,0,0,9579,0,0,27581,0,0,0,0,0,0,0,0,0,18676,31342,3374,225,497,9975,185,0,64274,2584,6304,2203,0,0,6132,0,0,17223,1758,2390,344,27,134,1071,45,0,5769,403,761,489,0,0,643,0,0,2296,0,0,0,0,0,0,0,0,0,197,9,0,1,0,0,0,207,154,6,0,0,0,0,0,160,473,353,35,3,6,118,3,991,212,266,33,0,4,117,3,635,89,182,28,0,4,78,1,382,679,503,36,5,6,148,4,1381,885,554,36,0,6,150,3,1634,925,555,35,5,6,154,4,1684,144,205,35,0,6,124,4,518,27,100,30,0,5,66,0,228,43,119,9,0,2,56,1,230,77,143,10,0,2,62,2,296,770,101,4,5,0,7,0,887,896,468,14,5,5,108,4,1500,535,435,13,0,5,103,4,1095,896,468,14,5,5,108,4,1500,938,198,5,4,2,16,3,13,1166,896,470,16,5,5,108,4,1504,2338,3234,516,13,21,1143,10,7275,2161,3151,833,27,134,1714,45,8065,1042,1600,493,27,60,956,31,4209,1119,1551,340,0,74,758,14,10573,18751,4614,225,194,9035,111,43503,909,8524,608,201,594,1702,186,228,35,0,18,95,2,135,162,22,1,12,69,6,113,107,19,0,2,62,2,33,30,3,0,0,23,0,47,54,23,0,1,39,0,41,46,11,2,3,29,0,17,31,1,0,0,4,0,19,18,0,0,0,2,0,1199,1258,2721,1982,182,312,541,525
