DISTCD,STATNAME,DISTNAME,C1_B,C2_B,C3_B,C4_B,C5_B,C6_B,C7_B,C8_B,C9_B,C1_G,C2_G,C3_G,C4_G,C5_G,C6_G,C7_G,C8_G,C9_G,C15A,C68A,C1_BD,C2_BD,C3_BD,C4_BD,C5_BD,C6_BD,C7_BD,C8_BD,C1_GD,C2_GD,C3_GD,C4_GD,C5_GD,C6_GD,C7_GD,C8_GD,C1_BR,C2_BR,C3_BR,C4_BR,C5_BR,C6_BR,C7_BR,C8_BR,C9_BR,C1_GR,C2_GR,C3_GR,C4_GR,C5_GR,C6_GR,C7_GR,C8_GR,C9_GR,SCPTOT,SCPTOT_G,SCUTOT,SCUTOT_G,STPTOT,STPTOT_G,STUTOT,STUTOT_G,OBPTOT,OBUTOT,OBPTOT_G,OBUTOT_G,MUPTOT,MUUTOT,MUPTOT_G,MUUTOT_G,BLC1,LVC1,HEC1,SPC1,LOC1,MEC1,LEC1,CPC1,AUC1,MUC1,BLC2,LVC2,HEC2,SPC2,LOC2,MEC2,LEC2,CPC2,AUC2,MUC2,BLC3,LVC3,HEC3,SPC3,LOC3,MEC3,LEC3,CPC3,AUC3,MUC3,BLC4,LVC4,HEC4,SPC4,LOC4,MEC4,LEC4,CPC4,AUC4,MUC4,BLC5,LVC5,HEC5,SPC5,LOC5,MEC5,LEC5,CPC5,AUC5,MUC5,BLC6,LVC6,HEC6,SPC6,LOC6,MEC6,LEC6,CPC6,AUC6,MUC6,BLC7,LVC7,HEC7,SPC7,LOC7,MEC7,LEC7,CPC7,AUC7,MUC7,BLC8,LVC8,HEC8,SPC8,LOC8,MEC8,LEC8,CPC8,AUC8,MUC8,TOTCLGD1G,TOTCLGD2G,TOTCLGD3G,TOTCLGD4G,TOTCLGD5G,TOTCLGD6G,TOTCLGD7G,TOTCLMI1G,TOTCLMI2G,TOTCLMI3G,TOTCLMI4G,TOTCLMI5G,TOTCLMI6G,TOTCLMI7G,TOTCLMJ1G,TOTCLMJ2G,TOTCLMJ3G,TOTCLMJ4G,TOTCLMJ5G,TOTCLMJ6G,TOTCLMJ7G,TOTCLOT1G,TOTCLOT2G,TOTCLOT3G,TOTCLOT4G,TOTCLOT5G,TOTCLOT6G,TOTCLOT7G,TCHBS1,TCHBS2,TCHBS3,TCHBS4,TCHBS5,TCHBS6,TCHBS7,TCHSEC1,TCHSEC2,TCHSEC3,TCHSEC4,TCHSEC5,TCHSEC6,TCHSEC7,TCHHS1,TCHHS2,TCHHS3,TCHHS4,TCHHS5,TCHHS6,TCHHS7,TCHGD1,TCHGD2,TCHGD3,TCHGD4,TCHGD5,TCHGD6,TCHGD7,TCHPG1,TCHPG2,TCHPG3,TCHPG4,TCHPG5,TCHPG6,TCHPG7,TCHMD1,TCHMD2,TCHMD3,TCHMD4,TCHMD5,TCHMD6,TCHMD7,TCHPD1,TCHPD2,TCHPD3,TCHPD4,TCHPD5,TCHPD6,TCHPD7,TCHNR1,TCHNR2,TCHNR3,TCHNR4,TCHNR5,TCHNR6,TCHNR7,TCHCON1,TCHCON2,TCHCON3,TCHCON4,TCHCON5,TCHCON67,TCHCON8,TCHCON9,TCHM1,TCHM2,TCHM3,TCHM4,TCHM5,TCHM6,TCHM7,TCHF1,TCHF2,TCHF3,TCHF4,TCHF5,TCHF6,TCHF7,TCHN1,TCHN2,TCHN3,TCHN4,TCHN5,TCHN6,TCHN7,TCHCM1,TCHCM2,TCHCM3,TCHCM4,TCHCM5,TCHCM6,TCHCM7,TCHCF1,TCHCF2,TCHCF3,TCHCF4,TCHCF5,TCHCF6,TCHCF7,TCHCN1,TCHCN2,TCHCN3,TCHCN4,TCHCN5,TCHCN6,TCHCN7,TLM_R1,TLM_R2,TLM_R3,TLM_R4,TLM_R5,TLM_R6,TLM_R7,TLME,TLMR,CONTIE,CONTIR,CONTI_R1,CONTI_R2,CONTI_R3,CONTI_R4,CONTI_R5,CONTI_R6,CONTI_R7,PIDAY30,PIDAYSCH,UIDAY35,UIDAYSCH,M1,M2,M3,M4,M5,ENRE11,ENRE12,ENRE13,ENRE14,ENRE15,ENRE16,ENRE17,ENRE21,ENRE22,ENRE23,ENRE24,ENRE25,ENRE26,ENRE27,ENRE31,ENRE32,ENRE33,ENRE34,ENRE35,ENRE36,ENRE37,ENRE41,ENRE42,ENRE43,ENRE44,ENRE45,ENRE46,ENRE47,ENRE51,ENRE52,ENRE53,ENRE54,ENRE55,ENRE56,ENRE57,TCH_5556M,TCH_5556F,TCH_5556T,TCH_5758M,TCH_5758F,TCH_5758T,TCH_5960M,TCH_5960F,TCH_5960T,PPTR30,UPTR35,PSCR30,USCR35,NOTCH_ASS,TCHINV,PTXT_ALL,PTXT_SC,PTXT_ST,PUNI_ALL,PUNI_SC,PUNI_ST,UTXT_ALL,UTXT_SC,UTXT_ST,UUNI_ALL,UUNI_SC,UUNI_ST,TOTCLS1G,TOTCLS2G,TOTCLS3G,TOTCLS4G,TOTCLS5G,TOTCLS6G,TOTCLS7G
101,JAMMU & KASHMIR,KUPWARA,9249,8538,7683,7441,7716,6846,6552,6309,5976,8725,8319,7161,6945,7186,6340,6040,5664,5002,65194,28695,102,127,142,130,148,116,122,125,61,84,112,109,82,74,95,54,105,75,68,58,67,58,72,74,172,102,87,81,70,80,49,40,52,163,1,0,0,0,9632,4744,3870,1757,12946,6048,6289,2834,78919,37734,38319,18036,3,43,17,21,23,19,14,1,2,20,5,74,20,27,21,12,29,5,3,15,15,65,34,31,31,19,28,4,3,24,3,57,29,31,36,22,26,8,10,17,7,67,39,21,28,18,18,4,11,17,6,61,34,16,22,7,14,6,0,24,11,82,35,21,12,11,21,4,3,17,5,63,23,13,25,10,16,5,6,13,2427,3387,38,39,20,744,132,852,1416,2,18,2,119,95,207,526,6,5,1,51,17,174,519,5,13,0,178,86,0,0,0,0,0,0,0,77,189,2,1,0,24,2,669,853,4,7,0,116,22,1153,2591,36,11,11,577,278,504,1175,15,12,17,344,344,6,18,1,0,0,6,3,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,17,178,455,172,3,0,0,1634,3669,36,8,22,823,538,775,1157,22,23,6,245,111,0,0,0,0,0,0,0,224,307,0,1,0,53,0,92,103,0,38,0,7,0,0,0,0,0,0,0,0,3,5,0,1,0,1,0,28925,28933,7020489,7524212,565,485,0,5,0,18,12,376960,2017,182130,976,19,0,0,0,0,32490,65348,811,568,154,15005,2338,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,147,38,185,87,32,119,62,12,74,64,2,66,27,65,14,53658,1,9157,53658,1,9157,26364,0,3709,26364,0,3709,3486,5329,46,62,23,914,244
102,JAMMU & KASHMIR,BARAMULA,9439,8891,8378,8440,8255,8073,7655,7583,7645,8947,8303,7850,7968,7894,7393,7221,7086,6863,72848,34420,61,95,248,190,273,241,287,305,52,73,222,146,210,206,229,228,145,5,0,2,3,0,3,2,7,180,0,1,1,4,1,1,1,0,19,8,6,1,4398,2035,1864,834,19851,10222,9849,5065,83661,44605,40621,21511,17,16,3,31,11,11,5,1,2,16,11,28,31,16,15,22,12,1,3,29,11,361,5,12,20,9,7,4,7,34,5,32,3,16,135,18,18,1,0,108,4,311,10,11,11,15,6,97,0,18,2,26,5,4,14,14,122,1,0,259,10,298,148,12,14,11,10,4,0,9,7,28,3,181,293,9,4,0,0,8,2730,3833,219,35,24,1524,208,998,1336,0,18,5,275,80,385,580,0,0,1,90,26,193,567,152,8,10,412,128,0,0,0,0,0,0,0,0,0,0,0,0,0,0,619,796,8,6,0,179,30,1232,3029,162,22,33,1588,354,751,1857,87,23,80,1037,407,11,41,0,0,5,37,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,119,278,257,5,0,0,1624,3535,136,5,70,1782,491,989,2188,121,46,48,1059,314,0,0,0,0,0,0,0,274,185,0,0,0,3,1,108,72,0,14,0,1,1,0,0,0,0,0,0,0,5,21,0,0,0,0,0,36550,37550,4530662,5221383,238,258,0,1,0,21,11,442897,2247,219339,1104,19,0,0,0,0,28133,61282,7222,346,167,29833,2393,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,198,103,301,122,112,234,105,54,159,43,0,85,32,149,15,44379,1,4052,44566,0,4052,24926,2,1761,25020,2,1761,4113,5749,219,53,30,1889,314
103,JAMMU & KASHMIR,SRINAGAR,6836,6483,6203,6104,6190,5995,5776,5678,5732,6318,6070,5844,5788,5662,5657,5331,5360,5616,50432,24280,73,104,121,117,113,86,104,98,41,91,90,91,112,86,104,81,94,31,19,20,18,18,6,13,40,78,17,13,16,9,15,20,11,49,43,29,28,16,1578,761,664,292,1633,700,791,340,58519,32359,28426,15717,5,24,17,16,8,10,21,3,0,10,3,82,13,9,17,10,46,1,2,12,2,83,15,12,14,11,59,2,4,9,4,88,22,13,8,5,59,1,2,6,2,95,20,11,8,9,67,1,3,9,3,81,14,8,9,2,49,0,2,4,2,116,14,9,8,8,46,0,5,0,2,110,16,4,6,4,32,0,2,3,818,2590,861,8,0,2637,42,79,345,4,0,0,93,4,6,48,0,0,0,49,3,186,270,189,10,0,360,9,0,0,0,0,0,0,0,20,70,1,0,0,39,2,66,334,12,0,0,218,5,461,2007,590,2,0,3003,61,287,867,524,5,0,1319,77,4,21,26,0,0,37,3,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,8,56,103,4,0,0,184,771,295,0,0,1060,53,654,2529,860,7,0,3556,95,0,0,0,0,0,0,0,28,27,0,0,0,1,0,68,36,0,7,0,4,0,0,0,0,0,0,0,0,38,27,0,0,0,10,3,45400,64702,2485616,3802861,151,179,1,0,0,53,2,178561,940,129990,685,19,0,0,0,0,6386,23893,20409,45,0,44338,224,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,42,199,241,68,225,293,40,145,185,10,0,43,20,90,9,10641,36,1419,6152,27,715,5834,11,546,3432,4,257,903,2983,865,8,0,2779,49
104,JAMMU & KASHMIR,BADGAM,6485,5996,5638,5339,5228,4854,4594,4586,4475,6204,5817,5236,5070,5074,4672,4313,4397,3840,46242,20869,43,51,45,51,60,38,39,46,21,47,48,43,42,27,36,27,0,19,13,6,17,6,4,5,32,0,17,22,12,9,5,1,1,14,0,0,0,0,2692,1312,1088,506,7651,3330,3853,1691,55990,27369,27359,13365,0,17,0,5,8,3,5,3,8,15,0,28,8,14,8,14,11,1,3,11,0,20,8,9,13,13,10,0,5,15,0,34,5,11,6,8,15,0,4,11,0,21,11,17,16,11,4,3,7,12,0,29,1,6,11,6,3,0,2,7,0,27,5,8,6,4,6,2,3,14,0,19,6,7,9,6,9,1,5,11,1790,2809,91,40,6,930,245,413,690,2,6,2,93,47,196,267,2,0,0,54,23,62,91,44,0,2,80,25,0,0,0,0,0,0,0,53,97,5,0,0,26,5,371,463,6,3,0,125,7,872,1786,90,21,5,822,294,555,1254,71,19,10,564,369,3,25,1,0,0,5,10,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,4,64,189,175,5,0,0,1246,2337,68,4,10,937,485,608,1289,105,39,5,605,200,0,0,0,0,0,0,0,140,176,0,0,0,1,0,49,46,0,25,0,0,0,0,0,0,0,0,0,0,57,44,0,1,0,1,1,209000,211000,3349373,3424454,331,231,1,0,0,17,11,276198,1414,138445,706,19,0,0,0,0,21459,41168,2144,480,52,15899,2301,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,125,55,180,106,55,161,66,14,80,35,2,33,7,107,8,33761,0,2475,33761,0,2475,17131,0,986,17131,0,986,2399,3766,95,46,8,1077,315
105,JAMMU & KASHMIR,PULWAMA,4136,4070,3779,3725,3754,3520,3324,3302,3393,4107,3910,3487,3347,3577,3435,3206,3308,3292,31631,15020,52,64,71,86,77,99,93,73,34,58,69,58,76,43,74,76,26,30,20,10,7,11,8,3,14,22,18,24,17,14,5,5,6,16,17,7,9,3,3501,1614,1149,531,5879,3151,2863,1630,37432,19867,18227,9833,0,27,3,13,13,13,8,0,2,7,0,38,6,18,14,14,5,5,3,19,1,42,3,12,20,23,12,7,5,15,0,57,9,17,16,19,12,4,1,9,0,48,8,13,24,25,12,6,5,12,1,68,7,9,12,17,12,0,4,12,4,82,4,15,14,18,11,5,1,13,3,78,5,4,18,16,7,2,6,10,1137,1824,140,50,2,1024,161,399,503,11,23,0,108,50,172,252,0,2,3,14,6,60,138,0,12,0,174,83,0,0,0,0,0,0,0,0,0,0,0,0,0,0,157,265,1,2,0,90,9,631,1346,60,18,4,840,216,427,978,50,41,32,562,285,8,25,2,2,6,21,15,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,33,73,95,3,0,0,792,1671,64,28,31,995,417,431,943,49,35,11,519,108,0,0,0,0,0,0,0,90,42,0,2,0,2,4,22,15,0,23,0,1,3,0,0,0,0,0,0,0,5,3,0,0,0,0,1,15000,16003,1359272,1588131,95,69,0,3,0,9,12,187204,965,97590,499,19,0,0,0,0,10823,24178,2149,496,91,18731,1519,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,113,32,145,98,29,127,51,17,68,6,2,13,5,47,10,16240,11,3374,16240,11,3374,8640,3,1101,8640,3,1101,1708,2579,151,75,5,1146,217
106,JAMMU & KASHMIR,ANANTNAG,8039,8057,7578,7397,7295,7000,6463,6337,6247,7330,7322,6850,6951,7109,6547,5961,5915,5733,61548,28691,78,112,157,155,157,132,127,127,40,98,88,107,123,64,76,92,120,133,87,100,75,52,66,115,332,123,139,103,97,85,93,64,114,301,0,0,0,0,12201,5675,4454,2096,8547,4418,4148,2170,73500,37988,35349,18330,0,36,5,9,22,13,9,3,3,18,0,48,11,27,39,22,27,5,4,27,0,78,6,21,46,35,27,2,8,22,2,80,21,36,36,30,25,2,5,25,3,75,25,24,59,28,28,4,7,27,2,62,9,20,40,19,19,2,4,19,2,59,13,18,37,25,20,2,6,21,1,81,10,16,43,19,23,2,10,14,2020,4434,153,36,14,1311,131,471,1153,5,13,0,234,52,149,504,0,7,0,60,15,95,442,67,26,20,415,107,0,0,0,0,0,0,0,36,105,3,2,0,46,0,270,665,5,5,0,185,20,741,2949,156,14,8,1157,222,572,2095,127,10,37,972,283,18,44,8,0,2,31,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,151,447,506,15,1,0,924,3372,164,16,37,1584,418,713,2486,135,15,10,807,120,0,0,0,0,0,0,0,237,362,0,0,8,103,3,162,190,0,39,3,30,2,0,0,0,0,0,0,0,36,39,0,0,0,1,0,103601,119850,7895244,9569024,455,537,0,7,0,49,33,314161,1825,190562,1107,19,0,0,0,0,18939,61368,3085,500,288,26429,1542,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,158,119,277,128,81,209,103,38,141,25,1,48,30,111,23,38582,0,11513,38847,0,11603,20688,0,4235,20688,0,4251,2639,6091,158,56,14,1605,198
107,JAMMU & KASHMIR,LEH (LADAKH),1069,1053,1022,981,1023,927,825,790,859,1011,997,1000,830,897,830,903,850,971,8014,3539,4,4,6,6,4,3,1,7,3,4,0,3,5,1,3,1,14,9,7,1,9,8,12,14,23,8,8,1,2,4,2,6,10,18,114,46,20,4,8202,3936,4419,2238,62,10,30,5,1820,947,886,475,1,1,0,3,1,0,0,0,1,0,0,0,0,2,2,0,2,0,0,2,0,1,0,1,0,0,1,2,1,0,1,2,1,0,0,0,0,0,4,1,0,2,1,1,0,0,0,1,0,4,0,0,0,2,0,0,0,1,0,1,0,1,0,0,0,0,0,1,1,1,0,2,1,1,0,0,0,1,2,1,354,642,46,9,17,348,0,182,343,0,0,0,107,0,32,68,0,0,0,33,0,121,412,35,9,29,286,0,0,0,0,0,0,0,0,150,277,8,0,0,126,0,145,285,5,5,2,161,0,115,371,40,2,7,361,0,46,240,47,0,28,260,0,2,12,1,0,8,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,75,55,6,0,0,0,139,369,36,0,36,301,0,319,816,65,7,9,617,0,0,0,0,0,0,0,0,6,17,0,0,0,1,0,22,79,0,12,0,5,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,5000,5000,1043482,1258700,78,69,0,0,0,14,0,78980,359,43780,199,19,4,0,0,0,1122,5467,1814,49,223,5945,0,195,32,0,0,161,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23,28,51,41,36,77,9,6,15,2,1,7,5,17,3,2305,13,1906,1466,9,1127,1527,2,1360,1114,0,975,568,1053,46,9,17,483,0
108,JAMMU & KASHMIR,KARGIL,1496,1131,1115,1057,1032,1000,938,877,900,1515,1270,1168,1208,1090,1105,1040,971,981,9906,4514,11,7,6,7,5,10,10,7,13,13,12,11,16,15,15,15,11,5,0,0,2,2,3,0,0,14,3,6,0,4,1,3,5,1,0,0,0,0,12082,6251,5931,3116,0,0,0,0,11899,5803,6164,3051,0,6,0,3,1,1,4,2,3,4,0,8,0,3,0,1,3,0,1,4,0,5,1,1,1,2,3,2,0,3,0,7,1,2,1,0,2,0,2,3,0,8,2,2,2,0,3,1,2,1,0,13,0,4,1,3,3,0,0,1,0,10,6,3,1,1,1,1,0,2,0,7,3,3,1,1,1,1,1,4,456,990,54,16,3,155,57,211,390,15,10,0,60,41,60,108,0,0,0,5,1,128,394,10,3,6,89,125,0,0,0,0,0,0,0,79,341,4,0,0,32,36,202,525,13,12,0,49,25,67,484,38,3,2,129,159,11,153,34,1,15,74,79,1,3,2,0,0,1,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,22,191,145,56,0,0,0,237,1077,64,0,10,236,219,123,429,28,16,7,49,82,0,0,0,0,0,0,0,97,135,7,0,0,10,0,44,86,5,28,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5000,5000,0,1,0,0,0,0,0,114666,556,74079,359,19,0,0,0,0,3333,10003,1012,179,141,2727,618,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,75,14,89,34,10,44,17,3,20,1,1,3,3,0,0,6589,0,6589,6585,0,6585,3550,0,3550,3493,0,3493,727,1488,69,26,3,220,99
109,JAMMU & KASHMIR,DODA,6110,5213,5127,4937,4735,4577,4325,4175,3494,5501,4792,4685,4746,4453,4081,3946,3652,3078,43124,20069,132,202,184,139,104,64,31,18,121,170,147,99,58,32,26,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6653,3319,3414,1683,6101,2859,2703,1240,0,0,0,0,29728,14051,14196,6527,0,114,36,30,42,17,1,2,6,5,3,151,64,38,72,27,1,3,8,5,1,137,65,49,34,28,2,2,3,10,3,73,43,43,33,16,3,6,8,10,3,59,20,33,21,15,2,1,5,3,3,49,7,7,17,7,1,2,3,0,1,32,1,10,4,4,0,0,4,1,2,14,1,4,5,2,1,1,4,3,1738,1769,166,15,34,569,26,304,479,1,0,6,158,12,136,186,10,2,1,57,2,124,135,27,0,2,96,1,0,0,0,0,0,0,0,33,58,1,0,0,17,0,516,562,12,2,10,172,10,374,821,45,2,44,471,41,243,540,120,1,115,392,46,6,12,5,1,6,15,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,64,963,837,496,16,0,0,767,1356,150,2,157,837,61,405,637,33,4,18,230,40,0,0,0,0,0,0,0,438,647,61,0,14,196,1,323,428,45,35,5,180,3,0,0,0,0,0,0,0,23,11,0,1,0,3,1,39000,66252,4897426,7969360,499,381,2,0,4,75,2,268058,1451,131579,704,19,0,0,0,0,19415,35878,3299,213,511,15418,321,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,102,53,155,129,35,164,48,19,67,37,1,135,92,2167,186,49276,6577,6076,49170,6573,6052,24077,3394,2687,23924,3395,2686,2178,2434,177,17,41,784,40
110,JAMMU & KASHMIR,UDHAMPUR,6356,6386,6346,6622,6346,6114,5967,6098,5470,5746,5670,5545,5816,5411,5180,5362,4773,4515,52997,27009,39,56,51,68,70,37,39,48,25,45,40,43,38,14,21,16,175,59,31,22,25,115,136,337,413,161,53,22,13,20,75,86,193,274,17476,8400,9344,4325,7756,3635,3593,1580,2389,1445,1117,662,7624,3550,3560,1552,0,22,4,11,8,5,3,0,3,8,0,35,5,11,12,10,5,0,5,18,0,29,4,9,17,6,4,0,7,15,0,56,4,11,12,9,9,0,3,7,0,23,8,17,18,13,13,1,5,10,0,9,3,13,8,5,4,2,4,3,0,16,3,3,19,3,5,0,6,5,0,17,7,5,20,2,5,0,1,7,1811,2387,494,13,18,928,6,320,495,19,0,3,132,2,207,352,3,0,0,83,2,435,613,192,0,5,242,7,0,0,0,0,0,0,0,23,56,1,0,0,16,0,428,453,31,4,2,127,4,488,854,139,2,17,478,12,352,775,181,3,96,511,26,6,19,9,0,9,11,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,824,1309,772,11,0,0,748,1194,187,0,71,596,14,549,963,174,9,53,547,31,0,0,0,0,0,0,0,371,357,153,0,3,162,0,493,637,319,18,7,409,0,0,0,0,0,0,0,0,15,15,1,1,1,4,0,237992,529502,5351200,9667602,703,389,7,0,2,59,4,374509,1722,167568,764,19,0,0,0,0,21858,39843,11140,225,497,19971,204,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,98,56,154,105,63,168,47,17,64,44,2,99,34,757,68,38736,13978,6839,33340,12360,5733,23523,8030,3243,21600,7533,3074,2338,3234,516,13,21,1143,10
